nazev,efekt,default,zpusob ziskani,fluff,počet
Skřítci,"Hoď si kostkou. Pokud ti padlo 1 nebo 2, skřítky pobouřilo, že jste je vyrušili z jejich klidu a začali po vás házet kameny. První tři z vás jsou zraněni za jeden život. Pokud ti padlo 3 nebo 4, skřítci si vás nevšímají. Pokud ti padlo 5 nebo 6, skřítci mají dobrou náladu a prvním třem z vás vyléčí jeden život.",1,,Vešli jste do jeskyně osvětlené září plamene. Kolem ohniště odpočívají tři drobné postavy.,2
Raraši,"Za každého z vás se rozhodněte, jestli bude pokousán rarachy a bude chroptět, nebo za něj odhodíte jednu kartu.",1,,"Z ničeho nic uslyšíte zlomyslný smích a ze stropu a stěn na vás vyskočí hromada zelených mužíků. Začnou vás škrábat, kousat, škrtit, pohlcuje vás zoufalství.",1
Bludička,Ztratili jste se ve změti tunelů. Bez vyhodnocování odhoďte 5 karet.,1,,"V tunelu před vámi se objeví mihotající se světlo. Poletuje nahoru a dolů, zhasíná se a rozsvěcí. Zvědavě ho následujete dál do hlubin jeskyně.",1
Zdobená truhla,"Pokud máte kartu Klíč ..., truhlu můžete otevřít. Obsah truhly obdržíte u alchymisty.",1,,"Ve stěně tunelu si všimnete kamene, který jde uvolnit. Zvědavě ho vytáhnete a podíváte se do nově vzniklé průrvy - leží před vámi pěkná, stříbrem zdobená truhla s ornamenty.",1
Pohyblivá dlaždice,"Každý, kdo nemá aspekt První linie, je zraněn za dva životy. Může se tomu vyhnout sesláním kouzla Ochanné pole.",1,,"procházíte opracovanou chodbou s vydlážděnou podlahou. Na stěnách visí vyhaslé louče. Z ničeho nic uslyšíte cvaknutí a cítíte, jak se dlaždice pod vámi lehce propadla. Ze sten na vás vystřelí sprška šípů.",1
Roj hladových netopýrů,"Hoďte si kostkou. Pokud vám padlo 1, jste všichni zraněni za 1 život, pokud vám padlo 2, 3, 4, nebo 5, jste všichni zraněni za 2 životy, pokud vám padlo 6, jste všichni zraněni za 3 životy.",1,,"Kolem hlav vám začne poletovat nespočet malých, černých, okrídlených potvor. To jsou netopýři! Koušou vás do uší, do nosu... Oháníte se kolem sebe rukama, zkoušíte je sejmout meči, netopýři jsou ale moc rychlí.",2
Smrtelné výpary,"Kdo nemá aspekt Dryáčník, hodí si kostkou. Pokud mu padne 6, nestane se mu nic, pokud mu padne 4 nebo 5, je zraněn za jeden život, pokud mu padne 2, neb 3, je zraněn za dva životy, pokud mu padne 1, chroptí.",1,,"Sházíte hlouběji a hlouběji do útrob skalního masivu. Vzduch začíná být čím dál tím zatuchlejší, smrad se postupně mění v palčivý zápach, při kterém bolí každý nádech.",1
Díra v zemi,"První z vás je zraněn za dva životy. Pokud máte kartu Lano, můžete ho vytáhntout, jinak chroptí.",1,,"První dobrodruch z ničeho nic vykřikne a udvidíte, jak padá někam do prázdna.",1
Flogistonové pole,"Pokud má někdo z vás u sebe petardy, vybuchly a každá vás všechny zraní za dva životy.",1,,"Alchymisté vědí, toto je zápach flogistonu, látky, která způsobuje hoření.",1
Zapáchající mrtvola,"Pokud má někdo z vás aspekt Medik, nebo vám na kostce padne 6, dovtípíte se, že se daná osoba udusila. Dojde vám, že není čas tu čekat, musíte rychle pryč! V opačném případě dále zkoumáte mrtvé tělo, nemůžete na nic přijít, ale postupně se vám začíná motat hlava. Odhoďte bez vyhodnocení 5 karet.",1,,"Už na začátku tunelu cítíte ukrutný smrad. Za nedlouhu spatříte na zemi ležet tělo v pokročilém stádiu rozkladu. Přemýšlíte, na co mohla neidentifikovatelná osoba zemřít. Prozkoumáváte zbytky jejího oblečení, díváte se po známkách po utrpěném zranění.",1
Lucerna,Můžeš se podívat na 3 další karty.,0,obchodnik,,5
Lano,,0,obchodnik,,5
Kompas,Můžeš přesunout horní kartu z balíčku na jeho spodek.,0,obchodnik,,5
Krabička poslední záchrany,"Tato karta nic nedělá, ale vrací se vždy zpět do balíčku, balíček po vrácení zpět zamíchejte.",0,obchodnik,,5
Křesadlo,Umožňuje vám rozsvěcet louče.,0,obchodnik,,5
Posilňující dryák,Vraťte dvě vámi zvolené karty zpět do balíčku (nelze vrátit tuto kartu).,0,alchymista,,5
Kopající kořalka,"Prohoďte balíček karet s odhazovacím balíčkem. Zamíchejte již odhozené karty (kromě této), to je váš nový balíček karet. Původní balíček karet je nyní odhazovací balíček.",0,hospoda,,5
Víra v bohyni,Vraťte pět náhodných karet z odhazovacího balíčku zpět do balíčku (nelze vrátit tuto kartu).,0,?,,5
Požehnání starých božstev,"Podívejte se na vrchní dvě karty z balíčku. Můžete je vyměnit za vámi dvě zvolené karty z odhazovacího balíčku (buď obě, nebo ani jedna). ",0,?,,5
Magický rituál,"Můžete se rozhodnout odhodit bez vyhodnocení tolik karet, kolik vás je, a vyléčit všechny členy do plných životů.",0,alchymista,,5
Plynová maska,"Můžete ignorovat všechna zranění způsobené plynem, nedostatkem vzduchu atd.",0,alchymista,,5
Povzbuzující svačinka,Vraťte jednu náhodnou z odhazovacího balíčku kartu zpět do balíčku. Kartu ,0,hospoda,,5
Tuplák piva,"Hoďte si kostkou. Pokud vám padne 4 a více, můžete si každý vyléčit jeden život, nebo obnovit jedno slovo moci. Pokud vám padne 1, každý z vás je zraněn za jeden život.",0,hospoda,,5
Amulet jasnozřivosti,Můžete si prolistovat gamebook dříve než ho vyhodnotíte.,0,kvest asi?,,1
Víno pro štěstí,"Pokud máte tuto kartu a jste vyzváni k hodu kostkou, házíte si místo toho dvěma kostkami a vyberete si, který chcete výsledek.",0,hospoda,,5
Smůla na každém kroku,"Pokud máte tuto kartu a jste vyzváni k hodu kostkou, házíte si místo toho dvěma kostkami a vyberete si ten nižší výsledek.",1,,,2
Sesuv kamenů,Každý z vás je zraněn za jeden život. Ubránit se proti tomu může sesláním kouzla Ochranná sféra.,1,,Z ničeho nic se zbortila zeď tunelu a sutiny se sesunuly přímo na vás.,2
Barikáda,"Přes celou chodbu je naházeno harampádí. Můžete ho zkusit přelézt. Pokud tak učiníte, hoďte si kostkou. Pokud vám padlo sudé číslo, podařilo se vám to. V opačném případě odhoďte a vyhodnoťte dvě vrchní karty a tuto vraťe navrch balíčku. Pokud chcete harampádí ostranit, odhoďte bez vyhodnocení dvě karty.",1,,,1
Magická blokáda,"Blokáda z vás vysála všechna slova moci. Pokud máte aspekt Krvavá magie, můžete se zranit za tolik životů (aslepoň za jeden), aby vám zbyl jen jeden a ochránit sebe i ostatní před účinkem této karty. ",1,,,1
Tak potřebný odpočinek,Odhoďte bez vyhodnocení dvě karty na odhazovací balíček.,1,,,5
Tmavá chodba,"Pokud můžete vlivem některého efektu jít bez zavýzaných očí, tento efekt končí. Zavažte si opět oči.",1,,,1
Divoženka,"První z vás je zraněn za dva životy. Pokud sešle kouzlo, které tvoří magický projektil nebo použije petardu, efekt karty zastaví, v opačném případě je ten za ním zraněn za dva životy a opět má možnost stejným způsobem efekt zastavit, jinak to tak pokračuje dál až k poslednímu.",1,,"Cestu vám zastoupila divoce působíci žena. Něco na vás vykřikne cizí řečí a vystřelí po vás z luku. Je šíleně rychlá, nedá se zasáhnout ani mečem ani šípem. Uvedomáte si, že na to musíte jinak. Ale je potřeba jednat rychle!",1
Nášlapná past,Nejvyšší z vás je zraněn za 3 životy. Můžete se tomu vyhnout obětováním tří karet (odhoďte je bez vyhodnocení).,1,,"Tunely jsou plné všemožných nástrach a pastí. Je velmi složité a časově náročné si na ně dávat pozor. Pokud tak ale nečinítě, ozve se cvaknutí a ze stěny vystřelý nabroušený oštěp.",
Skřeti,"Hoďte si kostkou. Pokud vám padne méně než 6, posledního z vás skřeti chytili a chroptí. Můžete ho zachránit odhozením 5 karet  bez vyhodnocení.",1,,"Najednou za sebou uslyšíte zlomyslný smích. Všimnete si, že se na vás řítí skupinka v kůžích oděných postav. Z očí jim srší čiré zlo. Utíkáte kupředu, nikam se neohlížíte.",1
Zásoby,Tato karta nemá žádný efekt,0,obchodník/kvesty/alchymista/hospoda,,20
Lékárnička,Můžete bez vyhodnocení odhodit X karet. Za každou odhozenou kartu můžete jednomu vyléčit až tři životy.,0,obchodník/alchymista,,5
Časová smyčka,"Spotřebujte 10 slov moci a vraťte všechny karty z odhazovacího balíčku zpět do balíčku. Každý z vás je zraněn za tolik životů, aby měl jen jeden život. Pokud nemůžete spotřebovat tolik slov moci, všichni chroptíte.",0,alchymista,,1
Veselé listí,"Odhoďte bez vyhodnocení dvě karty na odhazovací balíček. Každý z vás si může přidat dvě slova moci. Pokud je nevyužijete do odchodu z labyrintu, přicházíte o ně",0,obchodník,,5
Obrazec na podlaze,"Po vstupu do tohoto obrazce musí každý zaplatit 3 slova moci, nebo vylít libovolný lektvar, nebo chroptí",1,,"V letmém fialovém světle ozařující chodbu spatříte na zemi jeskyně křídou načrtnutý obrazec. Není jiná možnost, než ho přejít. Jen co jste došlápli, cítíte, jak z vás nějaká temná síla začíná vysávat magickou moc.",2
Zraněný skřítek,"Můžete skřítka vyléčit. Na to můžete použít lektvar nebo kouzlo - nemusíte si házet na úspěch. Nebo pokud máte aspekt Ranhojič, můžete si hodit kostkou a pokud hodíte 4 a více, tak jste uspěli. Pokud máte aspekt Medik, stačí vám na úspěch hodit 3 a více. Pokud jste skřítka vyléčili, můžete si vrátit do balíčku jednu náhodně zvolenou kartu. Pokud jste ho nevyléčili, máte z toho špatné svědomí a jednu kartu bez vyhodnocení odhoďte. ",1,,,1
Olejová skvrna,"Olej můžete zapálit petardou nebo projektilem a poté počkat, až oheň vyhasne. Spotřebujete tedy jednu petardu/slova moci za projektilové kouzlo a bez vyhodnocení odhodíte jednu kartu. Pokud tak neučiníte, každý z vás si hodí. Pokud hodí 4 a méně, uklouzl a dostává paralýzu. ",1,,"Na zemi uvidíte cosi rozlitého, je to mazlavé a kluzké. Že by to byl olej?",3
Nízký strop,Nejvyšší z vás je zraněn za dva životy.,1,,"Jdete temnou chodbou a nejdou uslyšíte pěknou ránu. Otočíte se a vidíte, jak se váš druh drží za hlavu, byla to pěkná pecka",2
Skalní převis,"Nejvyšší z vás vylezl nahoru automaticky. Ostatní si musí hodit. Pokud hodí 3 a méně, musí se dotknout symbolu a spotřebovat tři slova moci, aby se dostali nahoru. Pokud nemůžou, musíte je tu nechat - chroptí. Pokud máte lano, můžete jednoho z vás vytáhnout zadarmo.",1,,"To je ale pěkné, cesta dál pokračuje, ale v cestě vám stojí rovná skalní stěna. Abyste ji mohli překonat, potřebujete vyšplhat nahoru. Na stěně je ale cosi nakreslené bílou křídou. Nějaký magický symbol?",1
Magická bariéra,"Musíte zaplatit 5 slov moci, abyste bariéru překonali. Pokud je zaplatit nemůžete, musíte najít jinou cestu - odhoďte a vyhodnoťte 5 karet.",1,,Cestu vám zastoupila mlhavá stěna. Slyšíte tiché bzučení a cítíte lehké vibrace. Mlžou bariérou nejde projít. ,1
Sršní hnízdo,"První z vás je zraněn za 3 životy, ostaní za 1 život.",,,První z vás do něčeho šlápl a za okamžik uslyšíte hlasité bzučení. ,
Pauza na zotavení,Můžete bez vyhodnocení odhodit X karet. Za každou odhozenou kartu můžete seslat jedno léčivé kouzlo nebo vypít jeden lektvar.,1,,"Konečně místo, kde se dá chvíli odpočinout.",5